date;data_mean_global;data_mean_nh;data_mean_sh
0000-01-15;278.36643883702;279.045658780349;277.687218893691
0000-02-15;278.713058010423;279.665398244509;277.760717776336
0000-03-15;279.013835279965;280.266778934527;277.760891625404
0000-04-15;279.209613348565;280.756607013125;277.662619684006
0000-05-15;279.106444207592;280.613494034269;277.599394380916
0000-06-15;278.325599529745;279.051002104382;277.600196955108
0000-07-15;276.637022486192;275.720930092582;277.553114879802
0000-08-15;274.98579282131;272.611740627628;277.359845014992
0000-09-15;274.898510607813;272.662073350643;277.134947864983
0000-10-15;275.889830222667;274.725710029604;277.05395041573
0000-11-15;276.851702631043;276.562272881883;277.141132380204
0000-12-15;277.450152017665;277.766333906501;277.133970128829
0001-01-15;277.876675965034;278.555895908363;277.197456021705
0001-02-15;278.231602305734;279.18394253982;277.279262071647
0001-03-15;278.55117896007;279.804122614632;277.298235305509
0001-04-15;278.774667521677;280.321661186237;277.227673857118
0001-05-15;278.706536577698;280.213586404375;277.199486751022
0001-06-15;277.966474396602;278.691876971239;277.241071821965
0001-07-15;276.322840745327;275.406748351717;277.238933138937
0001-08-15;274.719131964024;272.345079770342;277.093184157706
0001-09-15;274.680364721177;272.443927464007;276.916801978347
0001-10-15;275.719609989525;274.555489796462;276.883730182588
0001-11-15;276.727235330008;276.437805580848;277.016665079169
0001-12-15;277.367681523124;277.683863411959;277.051499634288
0002-01-15;277.830862747143;278.510082690472;277.151642803814
0002-02-15;278.215698947627;279.168039181713;277.26335871354
0002-03-15;278.558433522793;279.811377177355;277.305489868232
0002-04-15;278.799005782756;280.345999447316;277.252012118196
0002-05-15;278.74256707593;280.249616902607;277.235517249254
0002-06-15;278.009488432056;278.734891006693;277.284085857419
0002-07-15;276.368812379345;275.452719985735;277.284904772955
0002-08-15;274.764718019218;272.390665825536;277.1387702129
0002-09-15;274.722904781432;272.486467524262;276.959342038602
0002-10-15;275.757126399996;274.593006206933;276.921246593059
0002-11-15;276.758433197122;276.469003447962;277.047862946283
0002-12-15;277.39194871458;277.708130603416;277.075766825744
0003-01-15;277.848269891913;278.527489835242;277.169049948584
0003-02-15;278.226957773202;279.179298007288;277.274617539115
0003-03-15;278.564460932359;279.817404586921;277.311517277798
0003-04-15;278.800662871243;280.347656535803;277.253669206683
0003-05-15;278.740655523088;280.247705349765;277.233605696412
0003-06-15;278.004750502457;278.730153077094;277.27934792782
0003-07-15;276.361930922383;275.445838528773;277.278023315993
0003-08-15;274.756316469107;272.382264275425;277.130368662789
0003-09-15;274.713547157208;272.477109900038;276.949984414378
0003-10-15;275.747317305517;274.583197112454;276.91143749858
0003-11-15;276.748617821069;276.459188071909;277.03804757023
0003-12-15;277.382512830453;277.698694719288;277.066330941617
0004-01-15;277.839539858034;278.518759801363;277.160319914705
0004-02-15;278.219201825291;279.171542059377;277.266861591204
0004-03-15;278.557901374062;279.810845028624;277.304957719501
0004-04-15;278.795480869068;280.342474533628;277.248487204508
0004-05-15;278.736990884628;280.244040711305;277.229941057952
0004-06-15;278.002701676393;278.72810425103;277.277299101756
0004-07-15;276.361554998479;275.445462604869;277.277647392089
0004-08-15;274.757629178216;272.383576984534;277.131681371898
0004-09-15;274.716522871266;272.480085614096;276.952960128436
0004-10-15;275.751889037547;274.587768844484;276.91600923061
0004-11-15;276.754677225179;276.465247476019;277.04410697434
0004-12-15;277.389910201836;277.706092090671;277.073728313
0005-01-15;277.848084132971;278.5273040763;277.168864189642
0005-02-15;278.228661705663;279.181001939749;277.276321471576
0005-03-15;278.568034276624;279.820977931186;277.315090622063
0005-04-15;278.806064172409;280.353057836969;277.25907050785
0005-05-15;278.747823522954;280.254873349631;277.240773696278
0005-06-15;278.013604139525;278.739006714162;277.288201564888
0005-07-15;276.372369331854;275.456276938244;277.288461725464
0005-08-15;274.768218982887;272.394166789205;277.142271176569
0005-09-15;274.726773303903;272.490336046733;276.963210561073
0005-10-15;275.761706810436;274.597586617373;276.925827003499
0005-11-15;276.763990606222;276.474560857062;277.053420355383
0005-12-15;277.398669014552;277.714850903388;277.082487125716
0006-01-15;277.856259756493;278.535479699822;277.177039813164
0006-02-15;278.23624683233;279.188587066416;277.283906598243
0006-03-15;278.575033673344;279.827977327906;277.322090018783
0006-04-15;278.812482762559;280.359476427119;277.265489098
0006-05-15;278.753665595891;280.260715422568;277.246615769215
0006-06-15;278.018873350582;278.744275925219;277.293470775945
0006-07-15;276.377068702346;275.460976308736;277.293161095956
0006-08-15;274.772350900105;272.398298706423;277.146403093787
0006-09-15;274.730339521119;272.493902263949;276.966776778289
0006-10-15;275.764708446899;274.600588253836;276.928828639962
0006-11-15;276.76642814716;276.476998398;277.055857896321
0006-12-15;277.400542311173;277.716724200009;277.084360422337
0007-01-15;277.857568025982;278.536787969311;277.178348082653
0007-02-15;278.236988688334;279.18932892242;277.284648454247
0007-03-15;278.575212666994;279.828156321556;277.322269012433
0007-04-15;278.812119382151;280.359113046711;277.265125717592
0007-05-15;278.752798839342;280.259848666019;277.245749012666
0007-06-15;278.017560725432;278.742963300069;277.292158150795
0007-07-15;276.375386225755;275.459293832145;277.291478619365
0007-08-15;274.770393098856;272.396340905174;277.144445292538
0007-09-15;274.728219431614;272.491782174444;276.964656688784
0007-10-15;275.762557615164;274.598437422101;276.926677808227
0007-11-15;276.76439662884;276.47496687968;277.053826378001
0007-12-15;277.398798671536;277.714980560372;277.0826167827
0008-01-15;277.856299339917;278.535519283246;277.177079396588
0008-02-15;278.236400500856;279.188740734942;277.284060266769
0008-03-15;278.575510745981;279.828454400543;277.32256709142
